Title,Part of Term,Co-enroll,Attributes,CRN,Subject,Course Number,Section,Campus,Type,Method,Credits,Start Time,End Time,Days,Where,Instructor
Principles of Accounting - Financial,Full Term,,,24851,ACCT,2301,301,Bryan Campus,Lecture,In Person,3.000,10:35 am,11:50 am,TR,F Building 246,Amber Lynn Bone
Principles of Accounting - Financial,Full Term,,,24853,ACCT,2301,302,Bryan Campus,Lecture,In Person,3.000,12:00 pm,1:15 pm,TR,F Building 246,Shane E Stibora
Principles of Accounting - Financial,Full Term,,,24929,ACCT,2301,303,Bryan Campus,Lecture,In Person,3.000,2:50 pm,4:05 pm,MW,F Building 246,Shane E Stibora
Principles of Accounting - Financial,Full Term,,,25610,ACCT,2301,304,Bryan Campus,Lecture,In Person,3.000,9:10 am,10:25 am,TR,F Building 246,Amber Lynn Bone
Principles of Accounting - Financial,First 8-week,,,21549,ACCT,2301,B0A,Brenham Campus,Lecture,Hybrid - In Person & Online,3.000,10:35 am,11:50 am,MW,Bullock Building 154,TBA
Principles of Accounting - Financial,Second 8-week,,,19355,ACCT,2301,B0N,Brenham Campus,Lecture,Hybrid - In Person & Online,3.000,9:10 am,10:25 am,MW,Bullock Building 154,Kwohn Rashaad Whitaker
Principles of Accounting - Financial,First 8-week,,,19338,ACCT,2301,B1A,RELLIS Campus,Lecture,Hybrid - In Person & Online,3.000,9:10 am,10:25 am,MW,Blinn RELLIS Admin Building 234,TBA
Principles of Accounting - Financial,First 8-week,,,19346,ACCT,2301,B1B,RELLIS Campus,Lecture,Hybrid - In Person & Online,3.000,1:25 pm,2:40 pm,MW,Walter C. Schwartz Building 220,TBA
Principles of Accounting - Financial,First 8-week,,,23306,ACCT,2301,B1C,RELLIS Campus,Lecture,Hybrid - In Person & Online,3.000,10:35 am,11:50 am,TR,Blinn RELLIS Admin Building 234,TBA
Principles of Accounting - Financial,First 8-week,,,21526,ACCT,2301,B1D,RELLIS Campus,Lecture,Hybrid - In Person & Online,3.000,1:25 pm,2:40 pm,TR,Blinn RELLIS Admin Building 234,TBA
Principles of Accounting - Financial,First 8-week,,,24210,ACCT,2301,B1E,RELLIS Campus,Lecture,Hybrid - In Person & Online,3.000,12:00 pm,1:15 pm,MW,Blinn RELLIS Admin Building 234,TBA
Principles of Accounting - Financial,First 8-week,,,24991,ACCT,2301,B1F,RELLIS Campus,Lecture,Hybrid - In Person & Online,3.000,2:50 pm,4:05 pm,MW,Walter C. Schwartz Building 220,TBA
